ID,condition,freq,phase
14,L_unsyncopated,4.583,0.724999
14,L_unsyncopated,5.000,-0.855787
1,L_syncopated,0.417,-0.206303
1,L_syncopated,0.833,0.672394
1,L_syncopated,1.250,-1.553112
1,L_syncopated,1.667,1.728277
1,L_syncopated,2.083,-2.433385
1,L_syncopated,2.500,2.743850
1,L_syncopated,2.917,-2.184946
1,L_syncopated,3.333,1.924278
1,L_syncopated,3.750,-0.126099
1,L_syncopated,4.167,0.372681
1,L_syncopated,4.583,0.493904
1,L_syncopated,5.000,-0.729209
2,L_syncopated,0.417,-0.583143
2,L_syncopated,0.833,1.449819
2,L_syncopated,1.250,-1.517965
2,L_syncopated,1.667,0.836178
2,L_syncopated,2.083,-0.241670
2,L_syncopated,2.500,-2.565864
2,L_syncopated,2.917,-0.958022
2,L_syncopated,3.333,-2.141368
2,L_syncopated,3.750,2.360667
2,L_syncopated,4.167,-0.708251
2,L_syncopated,4.583,0.161210
2,L_syncopated,5.000,-0.347552
3,L_syncopated,0.417,-1.623475
3,L_syncopated,0.833,0.945849
3,L_syncopated,1.250,-1.944472
3,L_syncopated,1.667,-1.231337
3,L_syncopated,2.083,-1.578627
3,L_syncopated,2.500,0.321347
3,L_syncopated,2.917,-2.107194
3,L_syncopated,3.333,-1.397202
3,L_syncopated,3.750,-2.191203
3,L_syncopated,4.167,-0.251642
3,L_syncopated,4.583,0.308807
3,L_syncopated,5.000,-1.468027
4,L_syncopated,0.417,0.408950
4,L_syncopated,0.833,1.670974
4,L_syncopated,1.250,-1.773797
4,L_syncopated,1.667,-1.463332
4,L_syncopated,2.083,-2.177748
4,L_syncopated,2.500,-2.406458
4,L_syncopated,2.917,-1.746529
4,L_syncopated,3.333,-1.853164
4,L_syncopated,3.750,-1.435813
4,L_syncopated,4.167,0.564695
4,L_syncopated,4.583,0.389310
4,L_syncopated,5.000,0.065118
5,L_syncopated,0.417,0.381879
5,L_syncopated,0.833,0.555946
5,L_syncopated,1.250,3.038745
5,L_syncopated,1.667,0.152206
5,L_syncopated,2.083,-2.255786
5,L_syncopated,2.500,0.247864
5,L_syncopated,2.917,-2.443589
5,L_syncopated,3.333,-1.886365
5,L_syncopated,3.750,1.082341
5,L_syncopated,4.167,0.435506
5,L_syncopated,4.583,0.210085
5,L_syncopated,5.000,-1.026008
6,L_syncopated,0.417,-1.900747
6,L_syncopated,0.833,1.449690
6,L_syncopated,1.250,-1.466846
6,L_syncopated,1.667,2.320036
6,L_syncopated,2.083,-1.750817
6,L_syncopated,2.500,-0.695986
6,L_syncopated,2.917,-1.733987
6,L_syncopated,3.333,-1.460779
6,L_syncopated,3.750,-1.420841
6,L_syncopated,4.167,1.709774
6,L_syncopated,4.583,-0.098175
6,L_syncopated,5.000,0.416787
7,L_syncopated,0.417,0.274762
7,L_syncopated,0.833,2.368481
7,L_syncopated,1.250,-2.463841
7,L_syncopated,1.667,-0.687215
7,L_syncopated,2.083,-1.482839
7,L_syncopated,2.500,-1.507835
7,L_syncopated,2.917,-1.000239
7,L_syncopated,3.333,-0.393795
7,L_syncopated,3.750,-2.329703
7,L_syncopated,4.167,1.059522
7,L_syncopated,4.583,-0.276766
7,L_syncopated,5.000,-1.029760
8,L_syncopated,0.417,0.611227
8,L_syncopated,0.833,0.729721
8,L_syncopated,1.250,-2.243415
8,L_syncopated,1.667,0.723134
8,L_syncopated,2.083,-0.190790
8,L_syncopated,2.500,-2.612782
8,L_syncopated,2.917,-1.747977
8,L_syncopated,3.333,-0.204546
8,L_syncopated,3.750,-2.447173
8,L_syncopated,4.167,0.708679
8,L_syncopated,4.583,0.300791
8,L_syncopated,5.000,-1.211451
9,L_syncopated,0.417,-1.117283
9,L_syncopated,0.833,1.243747
9,L_syncopated,1.250,0.296389
9,L_syncopated,1.667,-1.514048
9,L_syncopated,2.083,-0.932047
9,L_syncopated,2.500,-2.001793
9,L_syncopated,2.917,-1.435497
9,L_syncopated,3.333,-2.364090
9,L_syncopated,3.750,-1.547264
9,L_syncopated,4.167,0.909006
9,L_syncopated,4.583,0.342971
9,L_syncopated,5.000,-0.773076
10,L_syncopated,0.417,0.335100
10,L_syncopated,0.833,0.791993
10,L_syncopated,1.250,0.288883
10,L_syncopated,1.667,0.314891
10,L_syncopated,2.083,-0.905450
10,L_syncopated,2.500,-1.628773
10,L_syncopated,2.917,-1.927522
10,L_syncopated,3.333,-2.474613
10,L_syncopated,3.750,-0.232816
10,L_syncopated,4.167,0.893135
10,L_syncopated,4.583,-0.090040
10,L_syncopated,5.000,-1.419664
11,L_syncopated,0.417,0.903033
11,L_syncopated,0.833,0.613338
11,L_syncopated,1.250,-1.594480
11,L_syncopated,1.667,0.534908
11,L_syncopated,2.083,-2.370760
11,L_syncopated,2.500,-2.201056
11,L_syncopated,2.917,-1.879334
11,L_syncopated,3.333,-0.783736
11,L_syncopated,3.750,0.314259
11,L_syncopated,4.167,0.598254
11,L_syncopated,4.583,-0.044374
11,L_syncopated,5.000,-2.547277
12,L_syncopated,0.417,0.641400
12,L_syncopated,0.833,1.392530
12,L_syncopated,1.250,-2.625567
12,L_syncopated,1.667,0.156171
12,L_syncopated,2.083,-0.222645
12,L_syncopated,2.500,-2.081729
12,L_syncopated,2.917,0.044128
12,L_syncopated,3.333,-0.212537
12,L_syncopated,3.750,-1.380759
12,L_syncopated,4.167,1.092999
12,L_syncopated,4.583,0.302670
12,L_syncopated,5.000,-1.356073
13,L_syncopated,0.417,0.581214
13,L_syncopated,0.833,1.075675
13,L_syncopated,1.250,2.914046
13,L_syncopated,1.667,0.026130
13,L_syncopated,2.083,-1.902690
13,L_syncopated,2.500,-2.069412
13,L_syncopated,2.917,-1.718343
13,L_syncopated,3.333,-1.644255
13,L_syncopated,3.750,-2.127080
13,L_syncopated,4.167,0.678791
13,L_syncopated,4.583,0.583506
13,L_syncopated,5.000,0.097527
14,L_syncopated,0.417,1.436861
14,L_syncopated,0.833,0.614759
14,L_syncopated,1.250,-2.729303
14,L_syncopated,1.667,-1.374191
14,L_syncopated,2.083,-1.631746
14,L_syncopated,2.500,0.409089
14,L_syncopated,2.917,-1.539663
14,L_syncopated,3.333,-1.734094
14,L_syncopated,3.750,-2.196898
14,L_syncopated,4.167,-0.132817
14,L_syncopated,4.583,0.323616
14,L_syncopated,5.000,-1.060772
